name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,132,5905,124,,,104.41486498739971,1,nan,40.2335,residential,6,,"LINESTRING (-112.05428 33.45957,-112.05316 33.45957)",
,133,124,5905,,,104.41486498739971,1,nan,40.2335,residential,6,,"LINESTRING (-112.05316 33.45963,-112.05428 33.45963)",
,134,124,125,,,103.22797827351724,1,nan,40.2335,residential,6,,"LINESTRING (-112.05315 33.45957,-112.05204 33.45958)",
,135,125,124,,,103.22797827351724,1,nan,40.2335,residential,6,,"LINESTRING (-112.05204 33.45964,-112.05316 33.45963)",
,136,125,126,,,204.18525446310522,1,nan,40.2335,residential,6,,"LINESTRING (-112.05204 33.45958,-112.04985 33.45959)",
,137,126,125,,,204.18525446310522,1,nan,40.2335,residential,6,,"LINESTRING (-112.04985 33.45965,-112.05204 33.45964)",
,138,126,127,,,203.94399034357082,1,nan,40.2335,residential,6,,"LINESTRING (-112.04985 33.45959,-112.04783 33.45959,-112.04765 33.45959)",
,139,127,126,,,203.94325652948024,1,nan,40.2335,residential,6,,"LINESTRING (-112.04765 33.45966,-112.04783 33.45966,-112.04985 33.45965)",
,140,5905,87,,,201.3307217957976,1,nan,40.2335,residential,6,,"LINESTRING (-112.05428 33.45961,-112.05645 33.45959)",
,141,87,5905,,,201.3307217957976,1,nan,40.2335,residential,6,,"LINESTRING (-112.05644 33.45952,-112.05428 33.45954)",
,142,129,130,,,93.69924824096461,1,nan,46.67086,residential,6,,"LINESTRING (-112.04002 33.45954,-112.03951 33.45954,-112.03901 33.45954)",
,143,130,129,,,93.7007353033772,1,nan,46.67086,residential,6,,"LINESTRING (-112.03901 33.45961,-112.03951 33.45961,-112.04002 33.45961)",
,144,970,131,,,404.2648383207364,1,nan,40.2335,residential,6,,"LINESTRING (-112.0739 33.46472,-112.07403 33.46472,-112.07413 33.46472,-112.07456 33.46473,-112.07471 33.46473,-112.07507 33.46473,-112.07516 33.46473,-112.07714 33.46475,-112.07813 33.46476,-112.07824 33.46477)",
,145,131,970,,,405.6865538300696,1,nan,40.2335,residential,6,,"LINESTRING (-112.07826 33.46471,-112.07814 33.46469,-112.07714 33.46468,-112.07516 33.46467,-112.07507 33.46467,-112.07471 33.46467,-112.07456 33.46466,-112.07413 33.46466,-112.07403 33.46466,-112.0739 33.46466)",
,146,131,132,,,189.25359373124778,1,nan,40.2335,residential,6,,"LINESTRING (-112.07824 33.46477,-112.07839 33.4648,-112.08018 33.4648,-112.08028 33.4648)",
,147,132,131,,,187.90140964594943,1,nan,40.2335,residential,6,,"LINESTRING (-112.08028 33.46474,-112.08018 33.46474,-112.0784 33.46474,-112.07826 33.46471)",
,148,132,1510,,,221.86983039706683,1,nan,40.2335,residential,6,,"LINESTRING (-112.08028 33.4648,-112.08038 33.4648,-112.08224 33.46481,-112.08245 33.46481,-112.08267 33.46481)",
,149,1510,132,,,221.8382894089071,1,nan,40.2335,residential,6,,"LINESTRING (-112.08267 33.46474,-112.08245 33.46474,-112.08224 33.46474,-112.08038 33.46474,-112.08028 33.46474)",
,150,1510,133,,,210.66777348000204,1,nan,40.2335,residential,6,,"LINESTRING (-112.08267 33.46481,-112.08286 33.46481,-112.08417 33.4648,-112.08493 33.46481)",
